Operational unit,Unit code,Internal cost code,CIPFA expenses type,Transaction date,Transaction number,Net amount,Supplier name,Supplier ID
Building Control Services,RY03,Waste Collection Biffa Fixed All,Third Party Payments,2014-07-01,619414,64298.92,Biffa Municipal Ltd,10778
Computer Administration,RC01,Waste Collection Biffa Fixed All,Third Party Payments,2014-07-01,619414,110806.1,Biffa Municipal Ltd,10778
Development Management,RY01,Waste Collection Biffa Fixed All,Third Party Payments,2014-07-01,619414,154494.65,Biffa Municipal Ltd,10778
Development Management,CP99,Waste Collection Biffa Fixed All,Third Party Payments,2014-07-01,619414,520.74,Biffa Municipal Ltd,10778
Development Management,CT10,Agency staff,Employees,2014-08-01,3031550,2745.46,Champion Recruitment,10148
Personnel Administration,CB01,Agency staff,Employees,2014-08-01,3031550,2745.47,Champion Recruitment,10148
Building Control Services,CB01,Agency staff,Employees,2014-08-01,3031565,664.58,Champion Recruitment,10148
Central Planning,CB01,Agency staff,Employees,2014-08-01,3031565,664.57,Champion Recruitment,10148
Development Management,A238,Staff training,Employees,2014-08-01,619431,550,The Chartered Institute of Marketing,15607
Development Management,HM02,Compensation to third parties,Supplies & Services,2014-08-01,3031577,1125,Sundry Supplier,99999
Policy Team,CE70,Communications - Telephones & Fax,Supplies & Services,2014-08-01,3031578,1126.45,BT Plc,10113
Recharges to Vale,LS01,Legal services,Supplies & Services,2014-08-01,619383,1804.9,Sharpe Pritchard,10629
Refuse Collection Contract,CB01,Climate Corporate Planning,Supplies & Services,2014-08-01,619425,6812.5,Concept Energy Solutions Ltd,15363
Housing Development & Regeneration,EH02,Burial costs,Supplies & Services,2014-08-01,619428,726.34,Tomalin and Son,12155
Housing Development Vale Recharges,AR04,Performers Fees and Charges,Supplies & Services,2014-08-01,1001988,7805.17,Big Wooden Horse Theatre Company,13095
Facilities Management,DN01,Fees and charges income,Income,2014-08-01,3031579,577.5,Sundry Supplier,99999
Housing Development & Regeneration,X130,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2014-08-01,619430,13995,WEC Group Ltd,15003
Housing Development Vale Recharges,AD10,Pensions - Hidden,Employees,2014-09-01,3031597,44631,Vale of White Horse District Council,10774
Conservation and Design,X805,Henley / OCC Car parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,2014-09-01,3031584,3877.6,Henley On Thames Town Council,10316
Communications & Publicity,EH06,Consultants-Projects,Supplies & Services,2014-10-01,1001991,5000,Ground Gas Solutions Ltd,15713
Communications Team - Vale Recharges,BC01,Agency staff,Employees,2014-11-01,3031569,2746.5,Champion Recruitment,10148
Housing Team,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-11-01,3031593,4131,SOHA Housing Ltd,10651
Management Development,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-11-01,3031593,537.03,SOHA Housing Ltd,10651
Corporate Training,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,2014-11-01,3031593,-600,SOHA Housing Ltd,10651
"HR, IT & customer services",X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-11-01,3031594,3216,R & A Haines Building Contractors Ltd,10298
Didcot Arts Centre,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-11-01,3031596,2147,Stannah Lift Services Ltd,10680
Didcot Arts Centre,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2014-11-01,3031601,851.2,Axe Heating & Plumbing,15719
EH - Food Safety,AR04,Premises service charges,Premises,13/01/2014,619384,8480.51,Hammersons Didcot Ltd,13624
EH - Food Safety,EH06,Consultants-Projects,Supplies & Services,13/01/2014,619434,6282,Ecus Ltd,10220
Pension Costs - Compens,CA02,Consultants-Projects,Supplies & Services,13/01/2014,619441,10146.5,Savills,13022
Pension Costs - Compens,CE11,Materials & consumables,Supplies & Services,13/01/2014,619442,592,Lyreco U K Ltd,10442
Economy leisure & property,CA02,Consultation costs,Supplies & Services,13/01/2014,619450,26025,Savills,13022
Accountancy - Vale Recharges,HM02,Compensation to third parties,Supplies & Services,13/01/2014,3031598,817.61,M A Barnes,11872
Accountancy - Vale Recharges,PA01,Consultation costs,Supplies & Services,13/01/2014,619096,3000,Monson Engineering Ltd,14359
Management Development,ED00,Miscellaneous-Projects,Supplies & Services,13/01/2014,1002004,774,Polar,15392
Corporate Training,RY01,Fees and hired services,Supplies & Services,13/01/2014,1002005,7118.51,Nationwide Door to Door Company Ltd,15712
Computer Administration,PP01,Government Grants Income-Projects,Income,13/01/2014,3031589,8440.42,Thame Town Council,10705
Housing Development & Regeneration,FM01,Agency staff,Employees,14/01/2014,3031551,1286.59,Champion Recruitment,10148
Housing Development Vale Recharges,PA01,Agency staff,Employees,14/01/2014,3031602,589.77,Allen Associates (Oxford) Ltd,10892
Corporate Training,TR02,Staff training,Employees,14/01/2014,619364,1185,Advanced Business Solutions,12588
Corporate Training,AH02,Agency staff,Employees,14/01/2014,3031560,1210.04,Champion Recruitment,10148
Development Management,AH10,Agency staff,Employees,14/01/2014,3031560,1210.04,Champion Recruitment,10148
Pension Costs,HA01,Electricity,Premises,14/01/2014,3031510,605.37,N Power Ltd,15113
Building Control Services,MP11,Premises service charges,Premises,14/01/2014,619465,6629.81,Hammersons Didcot Ltd,13624
Building Control Services,HM02,Loans To Clients,Supplies & Services,14/01/2014,3031615,695,REDACTED-SENSITIVE INFORMATION,99999
Accountancy,HM02,Loans To Clients,Supplies & Services,14/01/2014,3031616,695,REDACTED-SENSITIVE INFORMATION,99999
Accountancy - Vale Recharges,HM02,Compensation to third parties,Supplies & Services,14/01/2014,3031617,1237.5,M A Barnes,11872
Central Planning,HM02,Compensation to third parties,Supplies & Services,14/01/2014,3031619,1385,Mr M J Deeley,11283
Development Management,EH06,Dog warden services,Supplies & Services,14/01/2014,3031603,680,REDACTED-SENSITIVE INFORMATION,14716
Computer Administration,CE70,Communications - Telephones & Fax,Supplies & Services,14/01/2014,3031606,972.38,ProcessFlows UK Ltd,10876
Development Management,TV01,Maintenance of equipment,Supplies & Services,14/01/2014,619440,651,Allbrite Office and Window Cleaning Service,12697
Development Management,EH06,Consultants-Projects,Supplies & Services,14/01/2014,3031607,-5000,Ground Gas Solutions Ltd,15713
Computer Administration,EH06,Consultants-Projects,Supplies & Services,14/01/2014,3031612,-5000,Ground Gas Solutions Ltd,15713
Personnel Administration,AD02,Subscriptions,Supplies & Services,14/01/2014,1002009,1704,Reed Business Information,11555
Computer Administration,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,14/01/2014,3031627,1725,SOHA Housing Ltd,10651
Corporate Training,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,14/01/2014,3031628,1161.8,SOHA Housing Ltd,10651
Housing Team,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,14/01/2014,3031629,1258,Amity Insulation Services Limited,15720
Housing Development & Regeneration,FM01,Other expenses,Supplies & Services,15/01/2014,619472,1790,Proelec Installations Ltd,10562
Housing Development Vale Recharges,CE10,Software support and maintenance,Supplies & Services,15/01/2014,1002018,2000,TriNova Systems Ltd,10762
Housing Development & Regeneration,ES01,Capita Contract,Third Party Payments,15/01/2014,1002025,2060.45,Capita Business Services,10129
Housing Development Vale Recharges,ES02,Capita Contract,Third Party Payments,15/01/2014,1002025,2274.52,Capita Business Services,10129
Policy Team,ES03,Capita Contract,Third Party Payments,15/01/2014,1002025,2715.66,Capita Business Services,10129
Recharges to Vale,AC02,Capita Contract,Third Party Payments,15/01/2014,1002025,3226.88,Capita Business Services,10129
Refuse Collection Contract,PY01,Capita Contract,Third Party Payments,15/01/2014,1002025,4269.58,Capita Business Services,10129
Facilities Management,RB02,Capita Contract,Third Party Payments,15/01/2014,1002025,8248.19,Capita Business Services,10129
Pension Costs,RB03,Capita Contract,Third Party Payments,15/01/2014,1002025,49127.75,Capita Business Services,10129
Building Control Services,RB05,Capita Contract,Third Party Payments,15/01/2014,1002025,76878.64,Capita Business Services,10129
Housing Team,A227,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,15/01/2014,619458,11217.36,LA Architects Limited,15641
Housing Team,A242,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,15/01/2014,1002023,2979.38,ICE Facilities Management Ltd,14609
Corporate Training,EH06,Dog warden services,Supplies & Services,16/01/2014,3031632,716.96,REDACTED-SENSITIVE INFORMATION,14674
Communications & Publicity,RE01,Communications - Postages,Supplies & Services,16/01/2014,619495,694.81,Print Image Network Ltd,14610
Communications & Publicity,FM01,Maintenance contracts,Supplies & Services,16/01/2014,619500,2663.08,Chubb Electronic Security Systems Limited ta Initial Fire and Security,11420
Pension Costs - Compens,RB05,Capita Contract,Third Party Payments,16/01/2014,619503,1974.5,Capita Business Services,10129
Pension Costs - Compens,WC99,Contract Cleaning,Premises,17/01/2014,3031630,1359.78,St Andrews Community Association,10673
Housing Team,CP99,Communications - Postages,Supplies & Services,17/01/2014,619481,682.5,Bemrose Booth,10084
EH - Administration,CP99,Materials & consumables,Supplies & Services,17/01/2014,619483,1312.5,Bemrose Booth,10084
Legal,CP97,Management and admin recharges,Supplies & Services,17/01/2014,3031592,1953.76,Wallingford Town Council,10792
Recruitment Budget,EH06,Consultants-Projects,Supplies & Services,17/01/2014,3031637,5000,Ground Gas Solutions Ltd,15713
Conservation and Design,MP11,Consultants-Projects,Supplies & Services,17/01/2014,1002035,1000,Carter Jonas LLP,15323
Management Development,LD01,Engineering Support -Monson,Third Party Payments,17/01/2014,619488,3500,Monson Engineering Ltd,10466
Corporate Training,DN01,Agency staff,Employees,18/01/2014,3031614,-1782,Champion Recruitment,10148
Corporate Training,PA01,Agency staff,Employees,18/01/2014,3031641,1271.2,Allen Associates (Oxford) Ltd,10892
Management Development,PA01,Agency staff,Employees,18/01/2014,3031642,1016.96,Allen Associates (Oxford) Ltd,10892
Facilities Management,PA01,Agency staff,Employees,18/01/2014,3031643,1016.96,Allen Associates (Oxford) Ltd,10892
Commercial Sites,PA01,Agency staff,Employees,18/01/2014,3031644,1271.2,Allen Associates (Oxford) Ltd,10892
Didcot Arts Centre,FM01,Vehicle Servicing and maintenance,Transport,18/01/2014,619449,796,D&K Vehicle Maintenance,15415
Housing Act Works (was HAW Nuffield),RS01,Maintenance of equipment,Supplies & Services,18/01/2014,619493,845.38,Oxford Refrigeration Ltd,10521
Commercial Sites,LS01,Books and Publications,Supplies & Services,18/01/2014,619508,1729.45,LexisNexis,10425
General Toilets,LC01,Fees and hired services,Supplies & Services,18/01/2014,619524,2308.08,Local Government Association,14326
Foxhall Manor Park,RB04,Capita Contract,Third Party Payments,18/01/2014,3031653,17050.32,Capita Business Services,10129
Facilities Management,A227,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,18/01/2014,3031654,-40148.75,LA Architects Limited,15641
General Toilets,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,18/01/2014,3031658,1180,Prism Medical UK Ltd,14331
Facilities Management,A227,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,18/01/2014,3031659,40148.75,LA Architects Limited,15641
Facilities Management,FM02,Repairs and maintenance to land and buildings,Premises,20/01/2014,619527,2500,Turner Bros Demolition Ltd,13877
Didcot Arts Centre,AD02,Agency staff,Employees,21/01/2014,3031640,763.46,Allen Associates (Oxford) Ltd,10892
Parks and Open Spaces,FM01,Gas,Premises,21/01/2014,3031645,2534.54,Kent County Council,14992
Facilities Management,X002,VAT Outputs,Appropriations and other non Cipfa Sub Group Accounts,21/01/2014,3031645,506.91,Kent County Council,14992
Foxhall Manor Park,A232,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,21/01/2014,3031623,13440,Dorchester Parish Council,10207
Foxhall Manor Park,WC99,Contract Cleaning,Premises,22/01/2014,3031667,6086.37,Healthmatic Ltd 2010,14550
Facilities Management,FM01,Repairs and maintenance to land and buildings,Premises,22/01/2014,619494,989.76,Oxford Refrigeration Ltd,10521
Didcot Arts Centre,FM01,Repairs and maintenance to land and buildings,Premises,22/01/2014,619435,1562,Phoenix Fire Ltd,14998
Leisure - operations,AR04,Gas,Premises,22/01/2014,3031646,1397.39,Kent County Council,14992
Facilities Management,OP01,Repairs & Maintenance of Grounds,Premises,22/01/2014,1002044,2470,Berinsfield Community Business,10087
Facilities Management,CE10,Computer Maintenance of hardware,Supplies & Services,22/01/2014,619534,1050.83,Canon UK Limited,10501
Leisure - operations,LS01,Legal services,Supplies & Services,22/01/2014,619537,2500,Mr Jonathan French,15707
Foxhall Manor Park,PA01,Consultation costs,Supplies & Services,22/01/2014,619352,3000,Monson Engineering Ltd,14359
Facilities Management,TV01,Maintenance of equipment,Supplies & Services,22/01/2014,619487,4128,COMPUTERISED and DIGITAL SECURITY SYSTEMS LTD,10140
Land Drainage,FM01,Maintenance contracts,Supplies & Services,22/01/2014,619436,2290,Phoenix Fire Ltd,14998
Didcot Arts Centre,FM01,Maintenance contracts,Supplies & Services,22/01/2014,619467,562.5,Calber Facilities Management Ltd,14490
Facilities Management,DR02,Professional,Supplies & Services,22/01/2014,1002041,2559.12,SOHA Housing Ltd,10651
Foxhall Manor Park,DN01,Consultation costs,Supplies & Services,22/01/2014,1002046,2500,Miss Suzanne Ornsby QC,13369
Land Drainage,AR04,Performers Fees and Charges,Supplies & Services,22/01/2014,1002047,1000,Harriet Adie,15715
Facilities Management,MP11,Consultants-Projects,Supplies & Services,22/01/2014,1002048,3500,MEB Design Ltd,15675
Didcot Arts Centre,RY03,Capita Contract,Third Party Payments,22/01/2014,619502,3396.9,Capita Business Services,10129
Facilities Management,A257,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,22/01/2014,3031669,100000,Edward Pilling and Co Solicitors,15740
Foxhall Manor Park,A257,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,22/01/2014,3031670,38234,Chalgrove Parish Council,10145
Didcot Arts Centre,A257,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,22/01/2014,3031676,22679,Thame Players,15736
Foxhall Manor Park,A242,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,22/01/2014,1002045,2166.9,Just Print (UK) LTD t/a JP - UK,15704
Facilities Management,X177,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,22/01/2014,1002049,3500,Monson Engineering Ltd,10466
General Toilets,TR02,Staff training,Employees,23/01/2014,619544,1580,Advanced Business Solutions,12588
General Toilets,FM01,Maintenance contracts,Supplies & Services,23/01/2014,1002055,567.69,MJF Corporate Guarding Ltd,13500
Facilities Management,HO01,Subscriptions,Supplies & Services,23/01/2014,1002057,985,HQN Limited,10336
Housing Act Works (was HAW Nuffield),CZ02,Fees and hired services,Supplies & Services,23/01/2014,1002060,525,Alexander,11801
General Toilets,RY01,Materials & consumables,Supplies & Services,23/01/2014,1002061,1407,Bemrose Booth,10084
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,23/01/2014,1002064,874.22,Old Bridge Music,13421
Leisure - operations,AC01,Fees and hired services,Supplies & Services,23/01/2014,1002065,3275,Focus on Banking Ltd,15739
Didcot Arts Centre,PY02,Pensions - Compens,Employees,24/01/2014,3031707,20302.04,Oxfordshire CC Pension Fund,10523
Emergency Planning,PY02,Superannuation - ER,Employees,24/01/2014,3031707,33333.33,Oxfordshire CC Pension Fund,10523
Emergency Planning,TR02,Staff training,Employees,24/01/2014,3031696,-1185,Advanced Business Solutions,12588
Housing Act Works (was HAW Nuffield),TR12,Staff training,Employees,24/01/2014,619479,2210.81,Bond Solon Training Ltd,15716
Housing Act Works (was HAW Nuffield),DN01,Agency staff,Employees,24/01/2014,619561,2751.25,Jeremy Peter Associates,15348
Facilities Management,FM01,Repairs & Maintenance of Grounds,Premises,24/01/2014,619550,605.37,Horticultural Services by Sodexo,15002
Commercial Sites,FM02,Repairs & Maintenance of Grounds,Premises,24/01/2014,619550,525.58,Horticultural Services by Sodexo,15002
Housing Act Works (was HAW Nuffield),FM02,Repairs & Maintenance of Grounds,Premises,24/01/2014,619551,604.36,Horticultural Services by Sodexo,15002
Facilities Management,FM01,Repairs & Maintenance of Grounds,Premises,24/01/2014,619551,722.95,Horticultural Services by Sodexo,15002
Parks and Open Spaces,AR04,Contract Cleaning,Premises,24/01/2014,619570,1246.16,Calber Facilities Management Ltd,14490
Facilities Management,DR01,Grants,Supplies & Services,24/01/2014,619553,24797.25,Thames Valley Police Authority,10709
Facilities Management,SD02,Courses costs - Projects,Supplies & Services,24/01/2014,619556,517.24,Phoenix Software Ltd,10541
Didcot Arts Centre,CE70,Communications - Telephones & Fax,Supplies & Services,24/01/2014,3031727,1766.23,Level 3 Communications uk Limited,13409
Didcot Arts Centre,CP99,Cash banking and debt collection services,Supplies & Services,24/01/2014,619558,1607.28,Jade Security Services Ltd,10388
Facilities Management,FM01,Maintenance of equipment,Supplies & Services,24/01/2014,619433,1125.56,WB Power Services Ltd,12461
Facilities Management,OP01,Grounds Maintenance Contract,Third Party Payments,24/01/2014,619550,6395.07,Horticultural Services by Sodexo,15002
Didcot Arts Centre,OP01,Grounds Maintenance Contract,Third Party Payments,24/01/2014,619551,8226.86,Horticultural Services by Sodexo,15002
Housing Act Works (was HAW Nuffield),CM03,Grounds maintenance adhoc,Third Party Payments,24/01/2014,1002067,1514.76,Horticultural Services by Sodexo,15002
Leisure - operations,LE05,Repairs and maintenance to land and buildings,Premises,25/01/2014,619542,940,Monson Engineering Ltd,14359
Housing Act Works (was HAW Nuffield),AC01,Other insurance,Supplies & Services,25/01/2014,3031730,1084.8,Zurich Insurance Company,12161
Commercial Sites,AC01,Other insurance,Supplies & Services,25/01/2014,3031731,1415.2,Zurich Insurance Company,12161
Housing Act Works (was HAW Nuffield),LS01,Books and Publications,Supplies & Services,25/01/2014,619562,839,Thomson Reuters,15380
Foxhall Manor Park,AD10,Pension past service costs,Employees,27/01/2014,619601,650,Oxfordshire CC Pension Fund,10523
General Toilets,FM01,Electricity,Premises,27/01/2014,3031704,3640.46,Kent County Council,14992
General Toilets,FM01,Electricity,Premises,27/01/2014,3031704,541.07,Kent County Council,14992
Leisure - operations,CP99,Materials & consumables,Supplies & Services,27/01/2014,619540,1345.5,Bemrose Booth,10084
Facilities Management,CC01,Materials & consumables,Supplies & Services,27/01/2014,619547,781.53,GPP Hygiene,10275
Facilities Management,BM01,Other expenses,Supplies & Services,27/01/2014,619584,4055,Jamie Briggs Removals and Storage Ltd,15728
Safer & Stronger Communities Fund,LS01,Books and Publications,Supplies & Services,28/01/2014,619475,7748,Sweet and Maxwell,10687
PC & Intelligent Terminals,CE70,Computer Maintenance of hardware,Supplies & Services,28/01/2014,619594,7625,Scalable Communications Plc,10620
Policy & Community Engagement,HM01,Nightly Paid Accomodation,Supplies & Services,28/01/2014,3031736,1200,REDACTED-SENSITIVE INFORMATION,10535
Telecommunications,A257,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,28/01/2014,3031738,28763,Chalgrove Parish Council,10145
Telecommunications,TR08,Staff training,Employees,29/01/2014,619585,695,The Association of Electoral Administrators,10057
Car Park Operations,TR12,Staff training,Employees,29/01/2014,619595,7750.3,3C Associates Ltd,11607
PC & Intelligent Terminals,TR13,Staff training,Employees,29/01/2014,619633,1137,Impact TC LTD,14342
Didcot Growth Point Team,LE05,Repairs and maintenance to land and buildings,Premises,29/01/2014,619632,1278,Comcen Computer Supplies,15533
Legal,FM02,Repairs and maintenance to land and buildings,Premises,29/01/2014,618494,2937.5,Proelec Installations Ltd,10562
Legal,FM01,Repairs and maintenance to land and buildings,Premises,29/01/2014,619557,3600,Butler and Proctor Ltd,13798
Didcot Arts Centre,CE10,Software support and maintenance,Supplies & Services,29/01/2014,619620,19289,Civica UK Ltd,10162
Pest Control Service,DR01,Grants,Supplies & Services,29/01/2014,3031741,24797.25,Thames Valley Police Authority,10709
Hackney Carriage Licences,DR01,Grants,Supplies & Services,29/01/2014,3031742,-24797.25,Thames Valley Police Authority,10709
Safer & Stronger Communities Fund,SP01,Professional,Supplies & Services,29/01/2014,1002085,6972.25,Mears Home Improvement Limited,14703
Homelessness Nightly Paid,CZ01,Capita Contract,Third Party Payments,29/01/2014,619525,1913.33,Capita Business Services,10129
Telecommunications,CZ01,Capita Contract,Third Party Payments,29/01/2014,619525,2847.59,Capita Business Services,10129
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,30/01/2014,3031748,1120,REDACTED-SENSITIVE INFORMATION,10422
Parks and Open Spaces,HM01,Nightly Paid Accomodation,Supplies & Services,30/01/2014,3031749,1120,REDACTED-SENSITIVE INFORMATION,10422
Housing Team,CE62,Software support and maintenance,Supplies & Services,30/01/2014,619644,2501,Siteimprove Ltd,14162
Housing Team,ST01,Waste Collection Biffa Fixed All,Third Party Payments,30/01/2014,3031737,6333.5,Biffa Municipal Ltd,10778
Telecommunications,RC01,Waste Collection Biffa Variable Other,Third Party Payments,30/01/2014,3031737,20405.98,Biffa Municipal Ltd,10778
Didcot Arts Centre,RY03,Waste Collection Biffa Fixed All,Third Party Payments,30/01/2014,3031737,943.35,Biffa Municipal Ltd,10778
Facilities Management,RY01,Waste Collection Biffa Fixed All,Third Party Payments,30/01/2014,3031737,638.69,Biffa Municipal Ltd,10778
Facilities Management,LD01,Repairs & Maintenance of Grounds,Premises,31/01/2014,619626,14547.8,White Horse Contractors Limited,13364
MFDS,EH02,Burial costs,Supplies & Services,31/01/2014,619646,726.34,Tomalin and Son,12155
Rent Deposit Scheme,CP99,Materials & consumables,Supplies & Services,31/01/2014,3031729,-1181.25,Bemrose Booth,10084
Telecommunications,CP99,Materials & consumables,Supplies & Services,31/01/2014,3031740,-1102.5,Bemrose Booth,10084
Legal,AR04,Performers Fees and Charges,Supplies & Services,31/01/2014,619651,6264,Warren Productions,14072
